City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,0.98,73,16,19.9,TF,1696017637
1,bilibino,68.0546,166.4372,-5.48,98,100,2.68,RU,1696017637
2,flin flon,54.7682,-101.865,12.91,88,100,1.03,CA,1696017638
3,lompoc,34.6391,-120.4579,26.68,74,20,4.63,US,1696017638
4,sopur,34.3,74.4667,11.56,48,6,2.44,IN,1696017638
5,cold lake,54.4502,-110.2017,8.97,93,100,4.63,CA,1696017639
6,rio gallegos,-51.6226,-69.2181,13.03,35,0,6.17,AR,1696017393
7,colchani,-20.3,-66.9333,17.89,13,0,5.05,BO,1696017639
8,edinburgh of the seven seas,-37.0676,-12.3116,10.96,78,100,14.97,SH,1696017639
9,aykhal,66.0,111.5,2.04,98,100,5.62,RU,1696017640
10,hermanus,-34.4187,19.2345,14.95,90,78,4.59,ZA,1696017640
11,tazovsky,67.4667,78.7,-1.22,85,9,8.54,RU,1696017640
12,bethel,41.3712,-73.414,14.37,89,100,2.24,US,1696017641
13,windsor,42.3001,-83.0165,21.79,81,100,3.09,CA,1696017413
14,thompson,55.7435,-97.8558,13.09,67,75,1.03,CA,1696017641
15,adamstown,-25.066,-130.1015,20.78,82,47,10.09,PN,1696017641
16,waitangi,-43.9535,-176.5597,9.9,93,100,3.58,NZ,1696017642
17,lata,40.1629,-8.3327,25.51,81,6,1.06,PT,1696017642
18,margaret river,-33.95,115.0667,15.54,68,30,8.06,AU,1696017642
19,albany,42.6001,-73.9662,17.36,90,100,1.7,US,1696017643
20,stephenville,32.2207,-98.2023,34.41,34,40,3.6,US,1696017420
21,khvoynaya,58.9,34.5333,13.95,77,100,2.62,RU,1696017643
22,yellowknife,62.456,-114.3525,7.45,81,75,3.6,CA,1696017458
23,la sarre,48.8002,-79.1996,20.18,42,15,3.03,CA,1696017644
24,vadso,70.0744,29.7487,10.49,100,75,3.09,NO,1696017644
25,isafjordur,66.0755,-23.124,4.54,78,100,8.87,IS,1696017644
26,klyuchi,52.2667,79.1667,12.16,65,100,0.54,RU,1696017645
27,tura,25.5198,90.2201,24.15,94,100,1.94,IN,1696017645
